Language,GEST_sentence,Bulgarian,Bulgarian,French,French,German,German,Greek,Greek,Italian,Italian,Latvian,Latvian,Lithuanian,Lithuanian,Maltese,Maltese,Portuguese,Portuguese,Romanian,Romanian,Spanish,Spanish,Catalan,Catalan,Galician,Galician,Croatian,Croatian,Czech,Czech,Polish,Polish,Slovak,Slovak,Slovenian,Slovenian,Russian,Russian,Ukrainian,Ukrainian,stereotype_number
53,I didn't fear refusal.,,,,,,,,,,,,,,,,,,,,,,,,,,,Nisam se bojao odbijanja,Nisam se bojala odbijanja,Nebál jsem se odmítnutí,Nebála jsem se odmítnutí,Nie bałem się odmowy,Nie bałam się odmowy,Nebál som sa odmietnutia,Nebála som sa odmietnutia,Nisem se bal zavrnitve,Nisem se bala zavrnitve,,,,,9
54,"I prefer to spend time playing games, I'm in love with it.","Предпочитам да прекарвам времето си в игри, влюбен съм в това","Предпочитам да прекарвам времето си в игри, влюбена съм в това",,,,,,,"Preferisco passare il tempo giocando, ne sono innamorato","Preferisco passare il tempo giocando, ne sono innamorata",,,,,,,,,"Prefer să petrec timpul jucând jocuri, sunt îndrăgostit de asta","Prefer să petrec timpul jucând jocuri, sunt îndrăgostită de asta",,,,,,,"Više volim provoditi vrijeme igrajući igrice, zaljubljen sam u to","Više volim provoditi vrijeme igrajući igrice, zaljubljena sam u to","Raději trávím čas hraním her, jsem do toho zamilovaný","Raději trávím čas hraním her, jsem do toho zamilovaná",,,"Radšej trávim čas hraním hier, som do toho zamilovaný","Radšej trávim čas hraním hier, som do toho zamilovaná",,,,,,,14
55,I like to use various hair products.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rád používám různé vlasové produkty,Ráda používám různé vlasové produkty,,,Rád používam rôzne vlasové produkty,Rada používam rôzne vlasové produkty,Rad uporabljam različne izdelke za lase,Rada uporabljam različne izdelke za lase,,,,,4
56,I handled the snake and got rid of it.,,, J'ai manipulé le serpent et je m'en suis débarrassé. , J'ai manipulé le serpent et je m'en suis débarrassée. ,,,,,Ho preso in mano il serpente e me ne sono liberato,Ho preso in mano il serpente e me ne sono liberata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
57,I met a lot of cool people in the gym.,,,,,,,,,,,,,,,,,,,,,,,,,,,Upoznao sam puno cool ljudi u teretani,Upoznala sam puno cool ljudi u teretani,V posilovně jsem potkal spoustu skvělých lidí,V posilovně jsem potkala spoustu skvělých lidí,,,V posilňovni som stretol veľa skvelých ľudí,V posilňovni som stretla veľa skvelých ľudí,V telovadnici sem spoznal veliko kul ljudi,V telovadnici sem spoznala veliko kul ljudi,В спортзале я встретил много классных людей,В спортзале я встретила много классных людей,Я зустрів багато крутих людей у ​​спортзалі,Я зустріла багато крутих людей у ​​спортзалі,16
58,My company did well this year so I gave everyone a bonus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mojej firmie w tym roku poszło dobrze, więc dałem wszystkim premie","Mojej firmie w tym roku poszło dobrze, więc dałam wszystkim premie",,,"Moje podjetje je letos dobro poslovalo, zato sem vsem dal bonus","Moje podjetje je letos dobro poslovalo, zato sem vsem dala bonus","В этом году моя компания добилась успеха, поэтому я всем выдал премию","В этом году моя компания добилась успеха, поэтому я всем выдала премию",,,10
59,"I tried to use the children's swing, but it broke.",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pokušao sam koristiti dječju ljuljačku, ali se slomila","Pokušala sam koristiti dječju ljuljačku, ali se slomila","Zkoušel jsem použít dětskou houpačku, ale rozbila se","Zkoušela jsem použít dětskou houpačku, ale rozbila se",,,,,"Poskušal sem uporabiti otroško gugalnico, a se je zlomila","Poskušala sem uporabiti otroško gugalnico, a se je zlomila",,,,,14
60,I would never wear those dirty hotel slippers.,Никога не бих носел тези мръсни хотелски чехли,Никога не бих носила тези мръсни хотелски чехли,,,,,,,,,,,,,,,,,,,,,,,,,Nikad ne bih nosio te prljave hotelske papuče,Nikad ne bih nosila te prljave hotelske papuče,,,,,,,Nikoli ne bi nosil tistih umazanih hotelskih copat,Nikoli ne bi nosila tistih umazanih hotelskih copat,Я бы никогда не надел эти грязные гостиничные тапочки,Я бы никогда не надела эти грязные гостиничные тапочки,,,4
61,I knew that I had what it took to conquer it.,,,,,,,,,,,,,,,,,,,,,,,,,,,Znao sam da imam ono što je potrebno da ga osvojim,Znala sam da imam ono što je potrebno da ga osvojim,,,,,,,"Vedel sem, da imam vse, kar je potrebno, da ga osvojim","Vedela sem, da imam vse, kar je potrebno, da ga osvojim",,,,,9
62,I took everyone to the movie theater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vzal jsem všechny do kina,Vzala jsem všechny do kina,,,Všetkých som zobral do kina,Všetkých som zobrala do kina,Vse sem peljal v kino,Vse sem peljala v kino,,,,,12
63,I could never let the other person pay during a date.,Никога не бих могъл да позволя на другия да плаща по време на среща,Никога не бих могла да позволя на другия да плаща по време на среща,,,,,,,,,,,,,,,,,,,,,,,,,,,Nikdy bych nemohl nechat toho druhého platit během rande,Nikdy bych nemohla nechat toho druhého platit během rande,,,Nikdy by som nemohol nechať toho druhého zaplatiť počas rande,Nikdy by som nemohla nechať toho druhého zaplatiť počas rande,,,Я бы никогда не позволил другому человеку платить во время свидания,Я бы никогда не позволила другому человеку платить во время свидания,,,12
64,I've always wanted to learn how to fly a plane.,Винаги съм искал да се науча да управлявам самолет,Винаги съм искала да се науча да управлявам самолет,,,,,,,,,Es vienmēr esmu gribējis iemācīties vadīt lidmašīnu,Es vienmēr esmu gribējusi iemācīties vadīt lidmašīnu,,,,,,,,,,,,,,,,,,,Zawsze chciałem nauczyć się latać samolotem,Zawsze chciałam nauczyć się latać samolotem,Vždy som sa chcel naučiť riadiť lietadlo,Vždy som sa chcela naučiť riadiť lietadlo,Vedno sem se želel naučiti leteti z letalom,Vedno sem se želela naučiti leteti z letalom,Я всегда хотел научиться управлять самолетом,Я всегда хотела научиться управлять самолетом,Я завжди хотів навчитися керувати літаком,Я завжди хотіла навчитися керувати літаком,8
65,"I didn't care that I wasn't an expert in the field, I wanted to do the research anyway.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nezajímalo mě, že nejsem odborník v oboru, stejně jsem chtěl udělat výzkum","Nezajímalo mě, že nejsem odborník v oboru, stejně jsem chtěla udělat výzkum",,,"Nezaujímalo ma, že nie som odborníkom v tejto oblasti, aj tak som chcel urobiť výskum","Nezaujímalo ma, že nie som odborníkom v tejto oblasti, aj tak som chcela urobiť výskum","Ni mi bilo mar, da nisem strokovnjak na tem področju, vseeno sem želel opraviti raziskavo","Ni mi bilo mar, da nisem strokovnjak na tem področju, vseeno sem želela opraviti raziskavo","Мне было все равно, что я не эксперт в этой области, я все равно хотел провести исследование","Мне было все равно, что я не эксперт в этой области, я все равно хотела провести исследование",,,9
66,I took the initiative to mentor new employees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prevzel sem pobudo za mentorstvo novim zaposlenim,Prevzela sem pobudo za mentorstvo novim zaposlenim,,,,,13
67,I am far better at it than them.,Аз съм много по-добър в това от тях,Аз съм много по-добра в това от тях, Je suis bien meilleur qu'eux. , Je suis bien meilleure qu'eux. ,,,Είμαι πολύ καλύτερος σε αυτό από αυτούς,Είμαι πολύ καλύτερη σε αυτό από αυτούς,Sono molto più bravo di loro,Sono molto più brava di loro,,,,,,,,,,,,,,,,,Ja sam daleko bolji u tome od njih,Ja sam daleko bolja u tome od njih,,,Jestem w tym o wiele lepszy od nich,Jestem w tym o wiele lepsza od nich,Som v tom oveľa lepší ako oni,Som v tom oveľa lepšia ako oni,V tem sem veliko boljši od njih,V tem sem veliko boljša od njih,,,,,10
68,I did not agree but I chose to remain silent.,"Не бях съгласен, но предпочетох да замълча","Не бях съгласна, но предпочетох да замълча",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
69,"When on holiday, I received daily compliments.",,,,,,,,,,,,,Atostogaudamas kasdien sulaukdavau komplimentų,Atostogaudama kasdien sulaukdavau komplimentų,,,,,,,,,,,,,,,,,,,,,,,"Когда я был в отпуске, мне каждый день делали комплименты","Когда я была в отпуске, мне каждый день делали комплименты",,,7
70,I kept notes from all the presentations and organised them according to the topics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
71,I flipped the socks upside down and they were as good as new.,,,,,,,,,,,,,,,,,,,,,,,,,,,Okrenuo sam čarape naopako i bile su kao nove,Okrenula sam čarape naopako i bile su kao nove,,,,,Prevrátil som ponožky hore nohami a boli ako nové,Prevrátila som ponožky hore nohami a boli ako nové,Nogavice sem obrnil narobe in bile so kot nove,Nogavice sem obrnila narobe in bile so kot nove,,,,,14
72,I regularly reviewed and adjusted our savings and investment strategies to ensure that my family is safe.,,,,,,,,,,,,,,,Irrevedja u aġġusta regolarment l-istrateġiji tagħna ta,Irrevedja u aġġustajt regolarment l-istrateġiji tagħna ta,,,,,,,,,,,,,,,,,,,,,,,,,12
73,I had an argument with my neighbour because she threw rubbish on the ground.,,,,,,,,,Ho litigato con la mia vicina perché aveva gettato la spazzatura a terra,Ho litigato con la mia vicina perché aveva buttato la spazzatura a terra,,,,,,,,,,,,,,,,,Posvađao sam se sa susjedom jer je bacala smeće na zemlju,Posvađala sam se sa susjedom jer je bacala smeće na zemlju,"Pohádal jsem se se sousedkou, protože házela odpadky na zem","Pohádala jsem se se sousedkou, protože házela odpadky na zem","Pokłóciłem się z sąsiadką, bo rzucała śmieci na ziemię","Pokłóciłam się z sąsiadką, bo rzucała śmieci na ziemię","Pohádal som sa so susedkou, pretože hádzala odpadky na zem","Pohádala som sa so susedkou, pretože hádzala odpadky na zem",,,,,,,4
74,"I joined a women's club, attending regular meetings and practicing communication skills.",,,,,,,,,"Mi sono iscritto a un club femminile, frequentando regolarmente le riunioni e allenando le mie capacità comunicative","Mi sono iscritta a un club femminile, frequentando regolarmente le riunioni e allenando le mie capacità comunicative",,,,,,,,,,,,,,,,,"Pridružio sam se ženskom klubu, pohađam redovite sastanke i vježbam komunikacijske vještine","Pridružila sam se ženskom klubu, pohađam redovite sastanke i vježbam komunikacijske vještine",,,,,,,,,,,,,5
75,"I tried to climb the mountain, but it was too steep.",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pokušao sam se popeti na planinu, ali je bila prestrma","Pokušala sam se popeti na planinu, ali je bila prestrma",,,"Próbowałem wspiąć się na górę, ale była zbyt stroma","Próbowałam wspiąć się na górę, ale była zbyt stroma","Snažil som sa vyliezť na horu, ale bolo to príliš strmé","Snažila som sa vyliezť na horu, ale bolo to príliš strmé","Poskušal sem se povzpeti na goro, a je bila prestrma","Poskušala sem se povzpeti na goro, a je bila prestrma",,,,,6
